Symbol,TradeDate,Datetime,Open,High,Low,Close,Volume,MinuteChangePct,IsDrasticMoment
ADANIENT,2024-06-04,2024-06-04T09:15:00+05:30,3520.000000,3520.000000,3358.150000,3406.600000,242688,,false
ADANIENT,2024-06-04,2024-06-04T09:16:00+05:30,3408.650000,3465.200000,3397.150000,3445.500000,156709,1.141901,false
ADANIENT,2024-06-04,2024-06-04T09:17:00+05:30,3449.950000,3463.700000,3430.000000,3442.400000,130955,-0.089972,false
ADANIENT,2024-06-04,2024-06-04T09:18:00+05:30,3444.100000,3460.100000,3423.000000,3426.450000,108832,-0.463340,false
ADANIENT,2024-06-04,2024-06-04T09:19:00+05:30,3427.000000,3429.750000,3416.250000,3416.250000,95329,-0.297684,false
ADANIENT,2024-06-04,2024-06-04T09:20:00+05:30,3418.300000,3424.000000,3410.550000,3418.000000,64308,0.051226,false
ADANIENT,2024-06-04,2024-06-04T09:21:00+05:30,3417.800000,3417.800000,3383.300000,3387.200000,130079,-0.901112,false
ADANIENT,2024-06-04,2024-06-04T09:22:00+05:30,3388.000000,3388.000000,3326.050000,3333.350000,191302,-1.589809,false
ADANIENT,2024-06-04,2024-06-04T09:23:00+05:30,3334.700000,3349.250000,3292.350000,3296.650000,253707,-1.100994,false
ADANIENT,2024-06-04,2024-06-04T09:24:00+05:30,3296.750000,3345.150000,3294.800000,3310.000000,132131,0.404957,false
ADANIENT,2024-06-04,2024-06-04T09:25:00+05:30,3311.100000,3335.500000,3298.100000,3318.250000,174290,0.249245,false
ADANIENT,2024-06-04,2024-06-04T09:26:00+05:30,3318.100000,3329.450000,3312.250000,3317.600000,71441,-0.019589,false
ADANIENT,2024-06-04,2024-06-04T09:27:00+05:30,3315.000000,3337.650000,3311.200000,3321.050000,67161,0.103991,false
ADANIENT,2024-06-04,2024-06-04T09:28:00+05:30,3321.050000,3325.550000,3306.000000,3307.100000,64204,-0.420048,false
ADANIENT,2024-06-04,2024-06-04T09:29:00+05:30,3307.100000,3312.000000,3299.850000,3301.100000,92292,-0.181428,false
ADANIENT,2024-06-04,2024-06-04T09:30:00+05:30,3301.000000,3301.700000,3286.350000,3293.200000,122412,-0.239314,false
ADANIENT,2024-06-04,2024-06-04T09:31:00+05:30,3292.650000,3304.250000,3290.000000,3296.950000,59753,0.113871,false
ADANIENT,2024-06-04,2024-06-04T09:32:00+05:30,3297.150000,3297.150000,3288.000000,3296.150000,52274,-0.024265,false
ADANIENT,2024-06-04,2024-06-04T09:33:00+05:30,3296.850000,3314.000000,3294.250000,3314.000000,141277,0.541541,false
ADANIENT,2024-06-04,2024-06-04T09:34:00+05:30,3311.350000,3328.550000,3300.200000,3310.950000,113920,-0.092034,false
