metric,value
Tax Effect Of Unusual Items,1327793600.0
Tax Rate For Calcs,0.2302
Normalized EBITDA,183115000000.0
Total Unusual Items,5768000000.0
Total Unusual Items Excluding Goodwill,5768000000.0
Net Income From Continuing Operation Net Minority Interest,113500000000.0
Reconciled Depreciation,33402000000.0
Reconciled Cost Of Revenue,645446000000.0
EBITDA,188883000000.0
EBIT,155481000000.0
Net Interest Income,6812000000.0
Interest Expense,7824000000.0
Interest Income,16889000000.0
Normalized Income,109059793600.0
Net Income From Continuing And Discontinued Operation,113500000000.0
Total Expenses,769742000000.0
Total Operating Income As Reported,139606000000.0
Diluted Average Shares,10977982350.0
Basic Average Shares,10954933146.0
Diluted EPS,10.34
Basic EPS,10.365
Diluted NI Availto Com Stockholders,113500000000.0
Net Income Common Stockholders,113500000000.0
Net Income,113500000000.0
Minority Interests,-165000000.0
Net Income Including Noncontrolling Interests,113665000000.0
Net Income Continuous Operations,113665000000.0
Tax Provision,33992000000.0
Pretax Income,147657000000.0
Other Income Expense,5711000000.0
Special Income Charges,33000000.0
Gain On Sale Of Ppe,33000000.0
Earnings From Equity Interest,-57000000.0
Gain On Sale Of Security,5768000000.0
Net Non Operating Interest Income Expense,6812000000.0
Total Other Finance Cost,2253000000.0
Interest Expense Non Operating,7824000000.0
Interest Income Non Operating,16889000000.0
Operating Income,135134000000.0
Operating Expense,124296000000.0
Other Operating Expenses,-602000000.0
Provision For Doubtful Accounts,-602000000.0
Depreciation Amortization Depletion Income Statement,10095000000.0
Depreciation And Amortization In Income Statement,10095000000.0
Selling General And Administration,124296000000.0
Selling And Marketing Expense,65157000000.0
General And Administrative Expense,59139000000.0
Other Gand A,59139000000.0
Salaries And Wages,80885000000.0
Gross Profit,259430000000.0
Cost Of Revenue,645446000000.0
Total Revenue,904876000000.0
Operating Revenue,904876000000.0
