metric,value
Treasury Shares Number,29379458.0
Ordinary Shares Number,10964140230.0
Share Issued,10993519688.0
Net Debt,47860000000.0
Total Debt,175929000000.0
Tangible Book Value,367614000000.0
Invested Capital,809854000000.0
Working Capital,312423000000.0
Net Tangible Assets,367614000000.0
Capital Lease Obligations,24233000000.0
Common Stock Equity,658158000000.0
Total Capitalization,714621000000.0
Total Equity Gross Minority Interest,658673000000.0
Minority Interest,515000000.0
Stockholders Equity,658158000000.0
Other Equity Interest,47315000000.0
Gains Losses Not Affecting Retained Earnings,47061000000.0
Other Equity Adjustments,47061000000.0
Retained Earnings,551252000000.0
Additional Paid In Capital,1566000000.0
Capital Stock,10964000000.0
Common Stock,10964000000.0
Total Liabilities Net Minority Interest,420509000000.0
Total Non Current Liabilities Net Minority Interest,112180000000.0
Other Non Current Liabilities,7812000000.0
Derivative Product Liabilities,48000000.0
Employee Benefits,2720000000.0
Tradeand Other Payables Non Current,17818000000.0
Non Current Deferred Liabilities,12141000000.0
Non Current Deferred Revenue,0.0
Non Current Deferred Taxes Liabilities,12141000000.0
Long Term Debt And Capital Lease Obligation,71640000000.0
Long Term Capital Lease Obligation,15177000000.0
Long Term Debt,56463000000.0
Long Term Provisions,1000000.0
Current Liabilities,308329000000.0
Other Current Liabilities,20162000000.0
Current Deferred Liabilities,30126000000.0
Current Deferred Revenue,30126000000.0
Current Debt And Capital Lease Obligation,104289000000.0
Current Capital Lease Obligation,9056000000.0
Current Debt,95233000000.0
Other Current Borrowings,95230000000.0
Line Of Credit,3000000.0
Pensionand Other Post Retirement Benefit Plans Current,15310000000.0
Current Provisions,2771000000.0
Payables And Accrued Expenses,135671000000.0
Current Accrued Expenses,65794000000.0
Interest Payable,
Payables,69877000000.0
Other Payable,626000000.0
Dividends Payable,27337000000.0
Total Tax Payable,13231000000.0
Accounts Payable,28683000000.0
Total Assets,1079182000000.0
Total Non Current Assets,458430000000.0
Other Non Current Assets,4324000000.0
Non Current Prepaid Assets,8475000000.0
Non Current Deferred Assets,5721000000.0
Non Current Deferred Taxes Assets,2298000000.0
Duefrom Related Parties Non Current,
Non Current Accounts Receivable,19283000000.0
Financial Assets,6000000.0
Investments And Advances,20309000000.0
Other Investments,1657000000.0
Investmentin Financial Assets,19535000000.0
Available For Sale Securities,17046000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,2489000000.0
Long Term Equity Investment,774000000.0
Goodwill And Other Intangible Assets,290544000000.0
Other Intangible Assets,43555000000.0
Goodwill,246989000000.0
Net PPE,109768000000.0
Accumulated Depreciation,-129138000000.0
Gross PPE,238906000000.0
Construction In Progress,16288000000.0
Other Properties,2511000000.0
Machinery Furniture Equipment,147337000000.0
Buildings And Improvements,66679000000.0
Land And Improvements,6091000000.0
Properties,0.0
Current Assets,620752000000.0
Other Current Assets,1223000000.0
Hedging Assets Current,3032000000.0
Current Deferred Assets,875000000.0
Restricted Cash,
Prepaid Assets,47941000000.0
Inventory,1334000000.0
Finished Goods,1306000000.0
Raw Materials,28000000.0
Receivables,215066000000.0
Other Receivables,88073000000.0
Duefrom Related Parties Current,1552000000.0
Taxes Receivable,9939000000.0
Accrued Interest Receivable,1835000000.0
Accounts Receivable,115219000000.0
Cash Cash Equivalents And Short Term Investments,351281000000.0
Other Short Term Investments,247445000000.0
Cash And Cash Equivalents,103836000000.0
Cash Financial,103836000000.0
