metric,value
Treasury Shares Number,274158.0
Ordinary Shares Number,288396689.0
Share Issued,288670847.0
Net Debt,90822000000.0
Total Debt,102987000000.0
Tangible Book Value,439143700000.0
Invested Capital,596380100000.0
Working Capital,-26657200000.0
Net Tangible Assets,439143700000.0
Capital Lease Obligations,10959600000.0
Common Stock Equity,504352700000.0
Total Capitalization,557382700000.0
Total Equity Gross Minority Interest,504322100000.0
Minority Interest,-30600000.0
Stockholders Equity,504352700000.0
Other Equity Interest,497100000.0
Treasury Stock,1542900000.0
Retained Earnings,80537300000.0
Additional Paid In Capital,55146000000.0
Capital Stock,2886700000.0
Common Stock,2886700000.0
Total Liabilities Net Minority Interest,333955800000.0
Total Non Current Liabilities Net Minority Interest,132403900000.0
Other Non Current Liabilities,8000000.0
Liabilities Heldfor Sale Non Current,0.0
Derivative Product Liabilities,0.0
Non Current Accrued Expenses,0.0
Tradeand Other Payables Non Current,3034800000.0
Non Current Deferred Revenue,38300000.0
Non Current Deferred Taxes Liabilities,60332400000.0
Long Term Debt And Capital Lease Obligation,62812000000.0
Long Term Capital Lease Obligation,9782000000.0
Long Term Debt,53030000000.0
Long Term Provisions,6178400000.0
Current Liabilities,201551900000.0
Other Current Liabilities,54257900000.0
Current Debt And Capital Lease Obligation,40175000000.0
Current Capital Lease Obligation,1177600000.0
Current Debt,38997400000.0
Current Provisions,2479800000.0
Payables,68276100000.0
Other Payable,4248700000.0
Dividends Payable,126200000.0
Total Tax Payable,5272900000.0
Accounts Payable,58628300000.0
Total Assets,838277900000.0
Total Non Current Assets,663383200000.0
Other Non Current Assets,30782700000.0
Non Current Prepaid Assets,8224200000.0
Non Current Deferred Taxes Assets,163500000.0
Financial Assets,3678900000.0
Investmentin Financial Assets,13422600000.0
Available For Sale Securities,387200000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,13422600000.0
Long Term Equity Investment,301700000.0
Goodwill And Other Intangible Assets,65209000000.0
Other Intangible Assets,2706900000.0
Goodwill,62502100000.0
Net PPE,561806000000.0
Accumulated Depreciation,-141881100000.0
Gross PPE,703687100000.0
Construction In Progress,72065100000.0
Other Properties,1990500000.0
Machinery Furniture Equipment,419354500000.0
Buildings And Improvements,58311500000.0
Land And Improvements,94433200000.0
Properties,57532300000.0
Current Assets,174894700000.0
Other Current Assets,16111300000.0
Hedging Assets Current,382600000.0
Assets Held For Sale Current,95300000.0
Restricted Cash,1751800000.0
Prepaid Assets,17311600000.0
Inventory,55955800000.0
Other Inventories,1868600000.0
Finished Goods,5476900000.0
Work In Process,9430200000.0
Raw Materials,39180100000.0
Other Receivables,12466800000.0
Taxes Receivable,900000.0
Accounts Receivable,30716100000.0
Allowance For Doubtful Accounts Receivable,-1452800000.0
Gross Accounts Receivable,32168900000.0
Cash Cash Equivalents And Short Term Investments,56213800000.0
Other Short Term Investments,55008400000.0
Cash And Cash Equivalents,1205400000.0
Cash Financial,1205400000.0
