metric,value
Treasury Shares Number,
Ordinary Shares Number,6948771375.0
Share Issued,6948771375.0
Net Debt,
Total Debt,1585022231000.0
Tangible Book Value,1819511555000.0
Invested Capital,3405547104000.0
Net Tangible Assets,1819511555000.0
Common Stock Equity,1820524873000.0
Total Capitalization,3315194032000.0
Total Equity Gross Minority Interest,1880333808000.0
Minority Interest,59808935000.0
Stockholders Equity,1820524873000.0
Other Equity Interest,2664141000.0
Gains Losses Not Affecting Retained Earnings,1803961070000.0
Foreign Currency Translation Adjustments,
Unrealized Gain Loss,
Retained Earnings,
Capital Stock,13899662000.0
Common Stock,13899662000.0
Total Liabilities Net Minority Interest,15646040029000.0
Derivative Product Liabilities,112918929000.0
Long Term Debt And Capital Lease Obligation,1494669159000.0
Long Term Debt,1494669159000.0
Long Term Provisions,149289271000.0
Current Debt And Capital Lease Obligation,90353072000.0
Current Debt,90353072000.0
Commercial Paper,90353072000.0
Payables And Accrued Expenses,364716654000.0
Payables,364716654000.0
Other Payable,337192443000.0
Accounts Payable,27524211000.0
Total Assets,17526373837000.0
Investments And Advances,4162314160000.0
Available For Sale Securities,4142273520000.0
Long Term Equity Investment,20040640000.0
Goodwill And Other Intangible Assets,1013318000.0
Goodwill,1013318000.0
Net PPE,106054107000.0
Accumulated Depreciation,-104967406000.0
Gross PPE,211021513000.0
Other Properties,116675686000.0
Properties,94345827000.0
Prepaid Assets,4460876000.0
Receivables,591346864000.0
Notes Receivable,482956949000.0
Accounts Receivable,108389915000.0
Cash And Cash Equivalents,2135554549000.0
Cash Equivalents,162383872000.0
Cash Financial,72274785000.0
Cash Cash Equivalents And Federal Funds Sold,2135554549000.0
