metric,value
Tax Effect Of Unusual Items,26694693.420473
Tax Rate For Calcs,0.247668
Total Unusual Items,107784000.0
Total Unusual Items Excluding Goodwill,107784000.0
Net Income From Continuing Operation Net Minority Interest,149250096000.0
Reconciled Depreciation,5992592000.0
Net Interest Income,277399290000.0
Interest Expense,144111322000.0
Interest Income,421510612000.0
Normalized Income,149169006693.42047
Net Income From Continuing And Discontinued Operation,149250096000.0
Diluted Average Shares,9930844220.0
Basic Average Shares,9928332715.0
Diluted EPS,14.988
Basic EPS,14.992
Diluted NI Availto Com Stockholders,148845100000.0
Net Income Common Stockholders,148845100000.0
Otherunder Preferred Stock Dividend,-4000.0
Preferred Stock Dividends,405000000.0
Net Income,149250096000.0
Minority Interests,0.0
Net Income Including Noncontrolling Interests,149250138000.0
Net Income Extraordinary,1445675000.0
Net Income Continuous Operations,149250138000.0
Tax Provision,48657400000.0
Pretax Income,196461863000.0
Special Income Charges,107784000.0
Other Special Charges,-107784000.0
Gain On Sale Of Security,-5009005000.0
Operating Expense,320795887000.0
Other Operating Expenses,121908943000.0
Depreciation And Amortization In Income Statement,5992592000.0
Depreciation Income Statement,5992592000.0
Selling General And Administration,26369363000.0
Selling And Marketing Expense,11976963000.0
General And Administrative Expense,14392400000.0
Insurance And Claims,72294023000.0
Rent And Landing Fees,9357718000.0
Total Revenue,518572514000.0
Operating Revenue,518572514000.0
