Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2022-01-03,UPL.NS,753.0,766.9000244140625,750.0,764.2000122070312,734.4194946289062,1157591
2022-01-04,UPL.NS,769.1500244140625,769.1500244140625,755.5,761.75,732.0648803710938,1247395
2022-01-05,UPL.NS,759.0,769.8499755859375,757.4000244140625,764.5,734.707763671875,1156604
2022-01-06,UPL.NS,766.0,787.0,759.4500122070312,782.75,752.2465209960938,5436867
2022-01-07,UPL.NS,782.0,790.7000122070312,776.5499877929688,788.9500122070312,758.2048950195312,2052552
2022-01-10,UPL.NS,792.0999755859375,825.0,791.7000122070312,821.5999755859375,789.58251953125,7424271
2022-01-11,UPL.NS,821.7999877929688,828.0,816.0,819.5499877929688,787.6124267578125,2004689
2022-01-12,UPL.NS,821.0999755859375,825.0999755859375,812.4000244140625,822.4000244140625,790.3514404296875,2242638
2022-01-13,UPL.NS,823.0999755859375,844.9000244140625,823.0999755859375,841.0,808.2265625,4410699
2022-01-14,UPL.NS,836.0,836.0499877929688,818.0,824.6500244140625,792.513671875,3690548
2022-01-17,UPL.NS,825.4500122070312,830.7000122070312,815.7000122070312,824.75,792.6098022460938,2569165
2022-01-18,UPL.NS,821.5499877929688,825.0,795.8499755859375,799.0999755859375,767.9593505859375,2820426
2022-01-19,UPL.NS,798.0,815.0,789.2000122070312,813.25,781.5579833984375,2193951
2022-01-20,UPL.NS,820.0,823.0,804.0,808.4500122070312,776.9450073242188,1950781
2022-01-21,UPL.NS,801.0,804.8499755859375,780.0999755859375,786.9000244140625,756.2347412109375,1449766
2022-01-24,UPL.NS,776.7000122070312,786.0,755.5,762.5999755859375,732.8817749023438,1663579
2022-01-25,UPL.NS,754.5,795.1500244140625,746.0999755859375,791.1500244140625,760.3192749023438,2981161
2022-01-27,UPL.NS,794.8499755859375,794.8499755859375,765.0,771.9500122070312,741.867431640625,2436411
2022-01-28,UPL.NS,778.0,806.5,777.5499877929688,790.25,759.4542236328125,4007799
2022-01-31,UPL.NS,803.75,812.7000122070312,775.0,776.5,746.2401123046875,5138792
2022-02-01,UPL.NS,785.0,795.5999755859375,766.9000244140625,785.0,754.4088745117188,3693825
2022-02-02,UPL.NS,786.5999755859375,799.5999755859375,782.0,785.9500122070312,755.3218383789062,1771793
2022-02-03,UPL.NS,788.9500122070312,791.0,771.0,773.5,743.3569946289062,1493402
2022-02-04,UPL.NS,773.5999755859375,776.7999877929688,765.0,767.2000122070312,737.3025512695312,992052
2022-02-07,UPL.NS,764.2000122070312,774.9000244140625,750.25,756.5999755859375,727.1155395507812,1255955
2022-02-08,UPL.NS,757.0,763.9500122070312,744.0999755859375,758.6500244140625,729.0856323242188,2063533
2022-02-09,UPL.NS,764.5,772.4500122070312,760.0,770.5,740.473876953125,1342782
2022-02-10,UPL.NS,775.0,778.9500122070312,767.9500122070312,770.0999755859375,740.0894775390625,2561635
2022-02-11,UPL.NS,765.8499755859375,766.9500122070312,750.0,753.2000122070312,723.84814453125,1621795
2022-02-14,UPL.NS,744.2999877929688,749.0499877929688,716.0,721.7000122070312,693.57568359375,1950243
2022-02-15,UPL.NS,725.0999755859375,746.9500122070312,716.1500244140625,744.7000122070312,715.6793212890625,1467359
2022-02-16,UPL.NS,750.0,750.0,732.2999877929688,735.7999877929688,707.1261596679688,1398493
2022-02-17,UPL.NS,737.0,742.7000122070312,725.75,727.0499877929688,698.7171630859375,1174134
2022-02-18,UPL.NS,728.0,736.2000122070312,719.0,724.9500122070312,696.6990356445312,1973922
2022-02-21,UPL.NS,724.9000244140625,724.9000244140625,701.8499755859375,704.1500244140625,676.7095336914062,2577455
2022-02-22,UPL.NS,689.0,695.7000122070312,676.25,693.3499755859375,666.3304443359375,2841052
2022-02-23,UPL.NS,700.0499877929688,702.6500244140625,684.8499755859375,688.0,661.18896484375,2713053
2022-02-24,UPL.NS,673.0,674.75,622.0,632.2999877929688,607.6595458984375,5453651
2022-02-25,UPL.NS,656.2000122070312,663.8499755859375,644.6500244140625,654.7000122070312,629.1865844726562,3890925
2022-02-28,UPL.NS,651.0,668.9500122070312,644.0999755859375,665.4500122070312,639.5177001953125,3060915
2022-03-02,UPL.NS,663.6500244140625,697.0,659.5,689.5499877929688,662.678466796875,8499711
2022-03-03,UPL.NS,707.9000244140625,724.5999755859375,688.9500122070312,713.75,685.9354858398438,9676442
2022-03-04,UPL.NS,712.0,735.9000244140625,704.7999877929688,713.75,685.9354858398438,10189495
2022-03-07,UPL.NS,710.0499877929688,735.0,685.75,731.9000244140625,703.3781127929688,6969575
2022-03-08,UPL.NS,730.4000244140625,740.9500122070312,707.5999755859375,724.2000122070312,695.978271484375,4117923
2022-03-09,UPL.NS,732.5,734.7999877929688,712.7000122070312,725.2000122070312,696.939208984375,2888800
2022-03-10,UPL.NS,731.5499877929688,742.4000244140625,720.0,724.2000122070312,695.978271484375,4218131
2022-03-11,UPL.NS,723.8499755859375,729.0,716.2000122070312,725.4500122070312,697.1795043945312,2559363
2022-03-14,UPL.NS,728.0,733.5499877929688,720.0999755859375,730.75,702.2728881835938,2845328
2022-03-15,UPL.NS,730.0,746.0,728.5499877929688,741.0,712.12353515625,4051465
2022-03-16,UPL.NS,749.9500122070312,756.6500244140625,743.9000244140625,752.4500122070312,723.1273193359375,2879590
2022-03-17,UPL.NS,759.0,764.5,754.5499877929688,761.5999755859375,731.9207763671875,2297497
2022-03-21,UPL.NS,770.0,777.75,760.0,775.9000244140625,745.6635131835938,3221656
2022-03-22,UPL.NS,775.0,787.0,771.0499877929688,780.9500122070312,750.5167236328125,2788207
2022-03-23,UPL.NS,780.5,796.4000244140625,780.0,793.9500122070312,763.0101318359375,2365083
2022-03-24,UPL.NS,795.0,801.8499755859375,789.0499877929688,799.0999755859375,767.9593505859375,2117672
2022-03-25,UPL.NS,807.0,814.5,791.5999755859375,798.5499877929688,767.4307250976562,4762541
2022-03-28,UPL.NS,795.0499877929688,797.9500122070312,778.0,780.75,750.324462890625,2207764
2022-03-29,UPL.NS,781.5,790.4000244140625,779.0499877929688,782.0,751.5257568359375,1636109
2022-03-30,UPL.NS,782.0,785.5,774.0,776.1500244140625,745.90380859375,1113587
2022-03-31,UPL.NS,778.5499877929688,778.9500122070312,765.0,769.5999755859375,739.6090087890625,1874608
2022-04-01,UPL.NS,770.5,783.5,770.5,781.5499877929688,751.0933227539062,1467955
2022-04-04,UPL.NS,781.4500122070312,790.0,779.0499877929688,784.3499755859375,753.7841796875,1111794
2022-04-05,UPL.NS,791.9500122070312,800.6500244140625,790.2999877929688,793.5499877929688,762.6256713867188,2326745
2022-04-06,UPL.NS,796.2000122070312,811.7999877929688,792.0999755859375,805.2999877929688,773.9177856445312,2880663
2022-04-07,UPL.NS,797.0,809.0,790.4500122070312,803.3499755859375,772.0437622070312,2227078
2022-04-08,UPL.NS,806.0,819.5,805.6500244140625,809.75,778.1943359375,3285707
2022-04-11,UPL.NS,811.0,824.0,810.1500244140625,819.8499755859375,787.9008178710938,3167295
2022-04-12,UPL.NS,817.6500244140625,817.6500244140625,800.5,805.6500244140625,774.254150390625,3123878
2022-04-13,UPL.NS,805.6500244140625,836.4500122070312,805.0,818.6500244140625,786.74755859375,4974212
2022-04-18,UPL.NS,813.6500244140625,817.7000122070312,792.2999877929688,805.1500244140625,773.773681640625,3037877
2022-04-19,UPL.NS,807.0,823.9000244140625,800.0,804.9000244140625,773.5333251953125,2907063
2022-04-20,UPL.NS,809.5,826.9000244140625,807.0499877929688,825.25,793.09033203125,3042831
2022-04-21,UPL.NS,831.0,833.6500244140625,821.0,829.1500244140625,796.8383178710938,2691988
2022-04-22,UPL.NS,828.9000244140625,828.9000244140625,811.2999877929688,816.5499877929688,784.7293090820312,3147260
2022-04-25,UPL.NS,805.0,808.9500122070312,791.5,803.0499877929688,771.7554321289062,2050099
2022-04-26,UPL.NS,814.0,819.2999877929688,807.0999755859375,812.3499755859375,780.6929931640625,2022477
2022-04-27,UPL.NS,809.9000244140625,810.1500244140625,794.2000122070312,798.4000244140625,767.2866821289062,1627577
2022-04-28,UPL.NS,814.25,827.0,804.25,824.2999877929688,792.1773681640625,4606626
2022-04-29,UPL.NS,832.0,834.0,816.3499755859375,822.9000244140625,790.8318481445312,3236877
2022-05-02,UPL.NS,815.5499877929688,837.7000122070312,812.7000122070312,830.25,797.8954467773438,3855822
2022-05-04,UPL.NS,830.9000244140625,848.0,816.9500122070312,824.2000122070312,792.0811767578125,4888165
2022-05-05,UPL.NS,830.4000244140625,841.4000244140625,819.0999755859375,823.25,791.1682739257812,2630497
2022-05-06,UPL.NS,815.0,815.0,779.4500122070312,786.8499755859375,756.186767578125,3256336
2022-05-09,UPL.NS,772.0,806.6500244140625,768.5499877929688,777.5999755859375,747.2972412109375,6800255
2022-05-10,UPL.NS,792.0,800.6500244140625,778.5499877929688,789.7999877929688,759.021728515625,4027939
2022-05-11,UPL.NS,801.0,812.7000122070312,782.7999877929688,792.1500244140625,761.2802124023438,3654568
2022-05-12,UPL.NS,782.0,789.25,753.0,764.9500122070312,735.1401977539062,2998405
2022-05-13,UPL.NS,774.0,795.0,772.0999755859375,781.5499877929688,751.0933227539062,3062695
2022-05-16,UPL.NS,784.7000122070312,806.5,775.0499877929688,802.25,770.9866333007812,3267900
2022-05-17,UPL.NS,808.0,819.7000122070312,798.7000122070312,817.3499755859375,785.4981689453125,1844532
2022-05-18,UPL.NS,817.0,827.0,809.25,821.0999755859375,789.10205078125,1792368
2022-05-19,UPL.NS,807.7999877929688,816.3499755859375,803.0,814.0,782.2787475585938,1801424
2022-05-20,UPL.NS,818.0,828.0,803.5,808.25,776.7527465820312,2235524
2022-05-23,UPL.NS,810.0,815.3499755859375,788.75,791.25,760.415283203125,3341478
2022-05-24,UPL.NS,789.0,798.7999877929688,783.6500244140625,792.5499877929688,761.6646118164062,1695450
2022-05-25,UPL.NS,794.5,798.0,758.4000244140625,764.0,734.2272338867188,1484158
2022-05-26,UPL.NS,764.0,766.0,733.0499877929688,747.4500122070312,718.3221435546875,2577097
2022-05-27,UPL.NS,754.0,762.7000122070312,746.6500244140625,756.5999755859375,727.1155395507812,1529970
