Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2022-01-03,GRASIM.NS,1623.29541015625,1660.24853515625,1610.595947265625,1655.019287109375,1623.5909423828125,628963
2022-01-04,GRASIM.NS,1664.382080078125,1689.7811279296875,1651.43359375,1685.2989501953125,1653.2957763671875,895183
2022-01-05,GRASIM.NS,1678.32666015625,1746.1568603515625,1677.33056640625,1740.130859375,1707.0863037109375,1771249
2022-01-06,GRASIM.NS,1739.1846923828125,1739.1846923828125,1703.8251953125,1713.73583984375,1681.192626953125,1158707
2022-01-07,GRASIM.NS,1715.1800537109375,1799.8433837890625,1715.1800537109375,1790.530517578125,1756.5289306640625,2905803
2022-01-10,GRASIM.NS,1802.83154296875,1837.6929931640625,1786.4964599609375,1831.5672607421875,1796.786376953125,1468479
2022-01-11,GRASIM.NS,1826.8858642578125,1863.5899658203125,1813.7879638671875,1839.58544921875,1804.65234375,1416519
2022-01-12,GRASIM.NS,1850.5916748046875,1870.014404296875,1837.6929931640625,1866.578125,1831.1324462890625,701250
2022-01-13,GRASIM.NS,1872.5543212890625,1875.54248046875,1842.673095703125,1849.4959716796875,1814.3746337890625,844542
2022-01-14,GRASIM.NS,1852.533935546875,1860.352783203125,1825.093017578125,1849.9442138671875,1814.814453125,1239491
2022-01-17,GRASIM.NS,1849.9442138671875,1921.3602294921875,1838.68896484375,1911.10107421875,1874.8099365234375,1256235
2022-01-18,GRASIM.NS,1920.314453125,1922.1571044921875,1835.402099609375,1844.9141845703125,1809.8800048828125,945496
2022-01-19,GRASIM.NS,1837.6929931640625,1856.51806640625,1789.185791015625,1799.345458984375,1765.176513671875,809295
2022-01-20,GRASIM.NS,1809.8038330078125,1829.4755859375,1806.4173583984375,1823.7484130859375,1789.1160888671875,716176
2022-01-21,GRASIM.NS,1821.75634765625,1821.75634765625,1771.954345703125,1785.00244140625,1751.1058349609375,527053
2022-01-24,GRASIM.NS,1784.70361328125,1784.70361328125,1677.33056640625,1684.0040283203125,1652.025390625,1022826
2022-01-25,GRASIM.NS,1661.9915771484375,1719.3634033203125,1651.4833984375,1714.48291015625,1681.925537109375,837999
2022-01-27,GRASIM.NS,1690.378662109375,1693.2672119140625,1653.5252685546875,1680.3685302734375,1648.4588623046875,817874
2022-01-28,GRASIM.NS,1693.2672119140625,1729.4732666015625,1684.3526611328125,1690.279052734375,1658.18115234375,1141606
2022-01-31,GRASIM.NS,1699.143798828125,1730.1207275390625,1695.25927734375,1720.6583251953125,1687.9835205078125,513199
2022-02-01,GRASIM.NS,1729.7222900390625,1769.9124755859375,1710.2994384765625,1764.3345947265625,1730.830322265625,1145245
2022-02-02,GRASIM.NS,1772.9503173828125,1782.9107666015625,1756.0177001953125,1771.057861328125,1737.426025390625,691679
2022-02-03,GRASIM.NS,1772.004150390625,1778.9266357421875,1715.1800537109375,1725.837646484375,1693.0645751953125,482344
2022-02-04,GRASIM.NS,1725.837646484375,1758.009765625,1720.3594970703125,1728.4273681640625,1695.6051025390625,571680
2022-02-07,GRASIM.NS,1718.218017578125,1742.7205810546875,1693.2672119140625,1705.568359375,1673.1802978515625,483211
2022-02-08,GRASIM.NS,1714.53271484375,1721.1563720703125,1678.7249755859375,1710.9967041015625,1678.50537109375,423296
2022-02-09,GRASIM.NS,1711.2955322265625,1739.0850830078125,1706.2156982421875,1732.8099365234375,1699.904541015625,455811
2022-02-10,GRASIM.NS,1719.7618408203125,1764.2847900390625,1719.7618408203125,1761.5457763671875,1728.094482421875,624867
2022-02-11,GRASIM.NS,1743.0692138671875,1753.029541015625,1695.25927734375,1703.376953125,1671.0302734375,987534
2022-02-14,GRASIM.NS,1689.8807373046875,1689.8807373046875,1629.172119140625,1636.443115234375,1605.36767578125,828020
2022-02-15,GRASIM.NS,1652.7283935546875,1709.004638671875,1611.6417236328125,1705.3193359375,1672.9359130859375,1199604
2022-02-16,GRASIM.NS,1708.008544921875,1743.0194091796875,1705.7674560546875,1714.48291015625,1681.925537109375,1208851
2022-02-17,GRASIM.NS,1731.06689453125,1744.862060546875,1693.2672119140625,1704.47265625,1672.1053466796875,1071634
2022-02-18,GRASIM.NS,1695.25927734375,1733.0091552734375,1691.275146484375,1715.9271240234375,1683.3421630859375,1205180
2022-02-21,GRASIM.NS,1697.2513427734375,1729.8717041015625,1680.6673583984375,1685.7470703125,1653.7352294921875,1035748
2022-02-22,GRASIM.NS,1630.6661376953125,1683.008056640625,1630.6661376953125,1677.47998046875,1645.6251220703125,884474
2022-02-23,GRASIM.NS,1683.4063720703125,1697.2513427734375,1656.5631103515625,1663.186767578125,1631.6033935546875,675772
2022-02-24,GRASIM.NS,1618.564208984375,1646.403564453125,1528.920654296875,1538.233642578125,1509.0230712890625,1260593
2022-02-25,GRASIM.NS,1573.742431640625,1592.468017578125,1553.9710693359375,1561.640625,1531.985595703125,1125821
2022-02-28,GRASIM.NS,1546.3514404296875,1598.0457763671875,1532.3570556640625,1592.169189453125,1561.9344482421875,1217106
2022-03-02,GRASIM.NS,1565.774169921875,1576.4815673828125,1532.4068603515625,1542.3671875,1513.078125,1150949
2022-03-03,GRASIM.NS,1551.82958984375,1571.3519287109375,1490.2744140625,1497.64501953125,1469.2052001953125,1150368
2022-03-04,GRASIM.NS,1479.11865234375,1508.9002685546875,1441.2691650390625,1471.748046875,1443.800048828125,1633853
2022-03-07,GRASIM.NS,1439.277099609375,1469.8555908203125,1404.116943359375,1440.821044921875,1413.4603271484375,927442
2022-03-08,GRASIM.NS,1434.296875,1459.8951416015625,1401.6268310546875,1452.4248046875,1424.84375,819693
2022-03-09,GRASIM.NS,1459.8951416015625,1502.724853515625,1437.7830810546875,1487.4356689453125,1459.1898193359375,1697970
2022-03-10,GRASIM.NS,1543.861328125,1568.7623291015625,1525.0361328125,1548.7418212890625,1519.3316650390625,1492221
2022-03-11,GRASIM.NS,1547.596435546875,1569.65869140625,1534.89697265625,1560.046875,1530.422119140625,1206952
2022-03-14,GRASIM.NS,1550.0367431640625,1577.6768798828125,1539.7774658203125,1571.2523193359375,1541.414794921875,550221
2022-03-15,GRASIM.NS,1566.7701416015625,1592.368408203125,1551.43115234375,1558.0548095703125,1528.4677734375,916893
2022-03-16,GRASIM.NS,1573.294189453125,1609.450439453125,1569.95751953125,1597.697265625,1567.357421875,1406631
2022-03-17,GRASIM.NS,1613.5841064453125,1650.1884765625,1605.61572265625,1613.4346923828125,1582.7960205078125,2739045
2022-03-21,GRASIM.NS,1600.635498046875,1608.0560302734375,1550.2857666015625,1563.2342529296875,1533.549072265625,1291439
2022-03-22,GRASIM.NS,1563.2342529296875,1584.6490478515625,1519.0599365234375,1576.2325439453125,1546.3004150390625,1017766
