metric,value
Tax Effect Of Unusual Items,614877340.230699
Tax Rate For Calcs,0.19838
Normalized EBITDA,406221700000.0
Total Unusual Items,3099500000.0
Total Unusual Items Excluding Goodwill,3099500000.0
Net Income From Continuing Operation Net Minority Interest,152451300000.0
Reconciled Depreciation,129041500000.0
Reconciled Cost Of Revenue,
EBITDA,410320200000.0
EBIT,277180200000.0
Net Interest Income,-87001300000.0
Interest Expense,91099800000.0
Interest Income,16646900000.0
Normalized Income,152451300000.0
Net Income From Continuing And Discontinued Operation,152451300000.0
Total Expenses,183106000000.0
Rent Expense Supplemental,3365400000.0
Diluted Average Shares,9299844218.0
Basic Average Shares,9300603819.0
Diluted EPS,16.69
Basic EPS,16.69
Diluted NI Availto Com Stockholders,155214400000.0
Net Income Common Stockholders,155214400000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,155214400000.0
Net Income Including Noncontrolling Interests,155214400000.0
Net Income Extraordinary,2763100000.0
Net Income Continuous Operations,152451300000.0
Tax Provision,37727600000.0
Pretax Income,190178900000.0
Other Non Operating Income Expenses,1505300000.0
Special Income Charges,
Other Special Charges,-2436000000.0
Impairment Of Capital Assets,
Net Non Operating Interest Income Expense,-66595200000.0
Total Other Finance Cost,-7857700000.0
Interest Expense Non Operating,91099800000.0
Interest Income Non Operating,
Operating Income,261612200000.0
Operating Expense,166934700000.0
Other Operating Expenses,14698900000.0
Depreciation And Amortization In Income Statement,129041500000.0
Amortization,1259600000.0
Depreciation Income Statement,127781900000.0
Research And Development,
Selling General And Administration,
Selling And Marketing Expense,518500000.0
General And Administrative Expense,8238800000.0
Rent And Landing Fees,
Gross Profit,424557900000.0
Cost Of Revenue,16171300000.0
Total Revenue,440729200000.0
Operating Revenue,457923200000.0
